2020-05-07 17:02:19 pid:6327 Workerman[index.php] start in DEBUG mode
2020-05-07 17:02:21 pid:6327 worker[none:6497] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6498] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6499] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6500] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6501] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6502] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6503] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6504] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6505] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6506] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6507] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6508] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6509] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6510] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6511] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6512] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6513] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6514] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6515] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6516] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6517] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6518] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6519] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6520] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6521] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6522] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6523] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6524] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6525] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6526] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6527] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6528] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6529] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6530] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6531] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6532] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6533] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6534] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6535] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6536] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6537] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6538] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6539] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6540] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6541] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6542] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6543] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6544] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6545] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6546] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6547] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6548] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6549] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6550] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6551] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6552] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6553] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6554] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6555] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6556] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6557] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6558] exit with status 65280
